Unnamed: 0,Id,Age,Gender,Departments,Average Score,Communication Skills,Teamwork Skills,Management Skills,Critical Thinking,Computer Skills,Language Skills,Machine Operation Skills,Data Analysis Skills,Sales and Marketing Skills,Writing Skills,Financial Skills,Project Management Skills,Medical Skills,Annual Tuition Budget,Preferred Location,Key Factors for Future Job,Major,Habit,Field of Interest,Converted Score,Matched Universities
2135,2136,17,1,5,9.01,5,1,4,2,2,3,3,3,3,3,3,2,3,3,1,"6,2,8",1,3,3,27.03,Trường Đại học Mỹ thuật Việt Nam
2136,2137,16,2,1,7.65,2,5,3,2,2,1,2,1,3,1,3,2,1,2,2,"2,1,4",1,3,3,22.950000000000003,"Trường Đại học Mỹ thuật Công nghiệp, Học viện Âm nhạc Quốc gia Việt Nam, Trường Đại học Văn hóa - Nghệ thuật Quân Đội, Đại học Mỹ thuật Thành phố Hồ Chí Minh, Đại học Sân khấu - Điện ảnh Thành phố Hồ Chí Minh"
2137,2138,18,1,1,7.63,3,5,2,5,3,2,2,2,3,1,1,1,2,1,2,"5,1,8",1,3,3,22.89,"Trường Đại học Mỹ thuật Công nghiệp, Học viện Âm nhạc Quốc gia Việt Nam, Trường Đại học Văn hóa - Nghệ thuật Quân Đội, Đại học Mỹ thuật Thành phố Hồ Chí Minh, Đại học Sân khấu - Điện ảnh Thành phố Hồ Chí Minh"
2138,2139,18,1,2,7.29,2,1,4,1,2,1,3,3,2,3,2,2,1,3,3,"3,6,1",11,2,6,21.87,"Trường Đại học Mỏ - Địa chất, Trường Đại học Xây dựng Hà Nội, Trường Đại học Hàng Hải Việt Nam, Trường Đại học Y tế công cộng, Trường Đại học Bách Khoa - ĐH Đà Nẵng, Đại học Sư phạm Kỹ thuật TP.HCM, Đại học Công nghiệp Thành phố Hồ Chí Minh, Học viện Công nghệ Bưu chính Viễn thông (Cơ sở phía Nam), Đại học Giao thông vận tải Thành phố Hồ Chí Minh"
2139,2140,16,2,4,9.17,2,1,2,1,3,3,2,1,2,1,3,3,2,2,3,"8,6,7",11,2,6,27.509999999999998,
2140,2141,18,1,3,8.5,2,4,2,1,2,2,2,1,3,2,1,2,3,1,3,"4,1,6",3,1,2,25.5,"Học viện Công nghệ Bưu chính Viễn thông, Trường Đại học Giao thông Vận tải, Trường Đại học Mở Hà Nội, Học viện Ngoại giao, Trường Đại học Kinh doanh và Công nghệ Hà Nội, Đại học Kinh tế TP. HCM, Đại học Kinh tế - Luật (ĐH Quốc gia TP.HCM)"
2141,2142,17,1,5,8.11,2,5,3,3,3,2,2,1,1,2,2,2,1,3,1,"4,3,6",21,6,7,24.33,"Đại học Thái Nguyên, Trường Đại học Sư phạm Hà Nội 2, Trường Đại học Tây Bắc, Trường Đại học Ngoại ngữ - ĐH Huế, Trường Đại học Sư phạm - ĐH Huế, Trường Đại học Ngoại ngữ - ĐH Đà Nẵng, Trường Đại học Sư phạm - ĐH Đà nẵng, Trường Đại học Đà Lạt, Trường Đại học Khánh Hòa, Trường Đại học Quảng Nam, Trường Đại học Quy Nhơn, Trường Đại học Tây Nguyên, Trường Đại học Vinh, Đại học Sư phạm TP. HCM"
2142,2143,17,1,4,7.03,4,2,1,3,3,3,1,2,3,2,2,3,2,1,3,"7,3,4",3,1,2,21.09,"Trường Đại học Mỏ - Địa chất, Học viện phụ nữ Việt Nam, Trường Đại học Kinh doanh và Công nghệ Hà Nội, Đại học Kinh tế - Tài chính TP.HCM"
2143,2144,18,1,3,7.36,5,1,4,3,2,2,2,3,1,3,1,3,3,3,2,"1,6,3",1,3,3,22.080000000000002,"Trường Đại học Mỹ thuật Công nghiệp, Học viện Âm nhạc Quốc gia Việt Nam, Trường Đại học Văn hóa - Nghệ thuật Quân Đội, Đại học Mỹ thuật Thành phố Hồ Chí Minh, Đại học Sân khấu - Điện ảnh Thành phố Hồ Chí Minh"
2144,2145,16,2,3,8.67,5,1,4,1,1,3,3,3,1,1,3,3,3,1,3,"4,7,3",4,8,5,26.009999999999998,"Đại học Quốc gia Hà Nội, Học viện Công nghệ Bưu chính Viễn thông, Trường Đại học Văn hóa Hà Nội"
2145,2146,17,2,2,9.0,5,2,3,2,2,2,2,2,3,1,2,2,2,2,2,"8,6,7",4,8,5,27.0,"Đại học Quốc gia Hà Nội, Trường Đại học Văn hóa Hà Nội, Học viện Báo chí và Tuyên truyền"
2146,2147,16,1,2,8.27,4,2,3,5,1,2,1,3,2,3,3,2,1,1,3,"2,1,3",8,5,1,24.81,Đại học Khoa học Tự nhiên - ĐHQG TP Hồ Chí Minh
2147,2148,17,1,1,7.93,2,2,1,5,1,2,2,2,2,1,3,2,1,2,2,"4,3,8",10,2,2,23.79,"Đại học Quốc gia Hà Nội, Đại học Bách khoa Hà Nội, Học viện Công nghệ Bưu chính Viễn thông, Học viện Nông nghiệp Việt Nam, Trường Đại học Giao thông Vận tải, Trường Đại học Sư phạm Kỹ thuật Hưng Yên, Trường Đại học Dược Hà Nội, Trường Đại học Khoa học và Công nghệ Hà Nội, Trường Đại học Kinh doanh và Công nghệ Hà Nội, Đại học Bách Khoa - ĐHQG TP.HCM, Đại học Sư phạm Kỹ thuật TP.HCM, Đại học Công nghiệp Thành phố Hồ Chí Minh, Đại học Luật TP.HCM, Đại học Việt - Đức"
2148,2149,16,1,5,9.21,5,1,5,2,1,1,1,2,2,2,1,3,2,2,3,"8,5,4",5,8,11,27.630000000000003,"Trường Đại học Kinh tế Quốc dân, Học viện Ngoại giao, Trường Đại học Sư phạm Nghệ thuật Trung ương"
2149,2150,19,1,3,8.21,3,5,4,4,3,1,3,1,3,3,3,2,1,3,2,"8,5,3",4,8,5,24.630000000000003,"Học viện Công nghệ Bưu chính Viễn thông, Học viện phụ nữ Việt Nam"
2150,2151,19,2,4,8.18,2,5,3,2,1,2,3,1,1,1,1,2,1,2,2,"3,8,5",4,8,5,24.54,"Học viện Công nghệ Bưu chính Viễn thông, Học viện phụ nữ Việt Nam"
2151,2152,18,1,4,8.79,3,2,1,3,1,1,3,3,2,2,1,3,3,1,2,"5,2,1",6,4,5,26.369999999999997,"Đại học Quốc gia Hà Nội, Trường Đại học Kinh tế Quốc dân, Trường Đại học Luật Hà Nội, Trường Đại học Văn hóa Hà Nội, Học viện Ngoại giao, Học viện Chính sách và Phát triển, Trường Đại học Luật Hà Nội – Phân hiệu tại Đắk Lắk, Đại học Ngoại thương (Cơ sở TP.HCM), Đại học Tôn Đức Thắng"
2152,2153,19,1,5,8.95,2,5,5,4,1,2,3,3,1,3,3,3,2,3,3,"6,3,5",3,1,2,26.849999999999998,"Trường Đại học Thương mại, Học viện Ngoại giao, Đại học Ngoại thương (Cơ sở TP.HCM)"
2153,2154,18,1,1,8.67,3,4,2,3,1,3,1,3,2,2,2,3,1,1,1,"4,8,1",11,2,6,26.009999999999998,"Đại học Quốc gia Hà Nội, Đại học Bách khoa Hà Nội, Trường Đại học Bách Khoa - ĐH Đà Nẵng, Đại học Bách Khoa - ĐHQG TP.HCM"
2154,2155,19,1,1,7.08,2,2,1,4,2,3,3,2,1,1,2,2,3,2,1,"2,1,1",10,2,2,21.240000000000002,"Học viện Công nghệ Bưu chính Viễn thông, Học viện Nông nghiệp Việt Nam, Trường Đại học Sư phạm Kỹ thuật Hưng Yên, Trường Đại học Điện lực, Trường Đại học Kinh doanh và Công nghệ Hà Nội, Trường Đại học Sư phạm Kỹ thuật – ĐH Đà Nẵng, Trường Đại học Tây Nguyên, Đại học Sư phạm Kỹ thuật TP.HCM, Đại học Công nghiệp Thành phố Hồ Chí Minh, Đại học Nông Lâm Thành phố Hồ Chí Minh, Đại học Cần Thơ"
2155,2156,18,2,4,9.11,5,1,4,3,1,2,3,1,2,3,1,3,1,2,1,"6,7,3",4,8,5,27.33,"Đại học Quốc gia Hà Nội, Trường Đại học Kinh tế Quốc dân, Trường Đại học Văn hóa Hà Nội"
2156,2157,18,1,5,8.89,1,3,5,3,2,3,3,3,3,3,2,2,1,1,1,"3,4,7",1,3,3,26.67,"Trường Đại học Mỹ thuật Việt Nam, Đại học Kiến trúc Thành phố Hồ Chí Minh"
2157,2158,17,1,5,9.37,5,2,3,2,3,1,3,2,3,3,3,1,2,1,1,"1,2,8",2,1,4,28.11,
2158,2159,16,1,5,7.27,2,4,1,5,2,2,2,2,3,3,2,2,3,2,2,"6,5,2",11,2,6,21.81,"Trường Đại học Mỏ - Địa chất, Trường Đại học Xây dựng Hà Nội, Trường Đại học Hàng Hải Việt Nam, Trường Đại học Y tế công cộng, Trường Đại học Bách Khoa - ĐH Đà Nẵng, Đại học Sư phạm Kỹ thuật TP.HCM, Đại học Công nghiệp Thành phố Hồ Chí Minh, Học viện Công nghệ Bưu chính Viễn thông (Cơ sở phía Nam), Đại học Giao thông vận tải Thành phố Hồ Chí Minh"
2159,2160,19,1,5,7.91,5,1,2,1,2,2,1,2,1,1,2,1,1,1,3,"4,7,2",16,5,9,23.73,"Trường Đại học Y Hà Nội, Đại học Thái Nguyên, Trường Đại học Kinh doanh và Công nghệ Hà Nội, Trường Đại học Y Dược - ĐH Huế, Khoa Y Dược – ĐH Đà Nẵng, Trường Đại học Kỹ thuật Y Dược Đà Nẵng, Trường Đại học Tây Nguyên, Trường Đại học Y khoa Vinh, Đại học Y Dược Cần Thơ, Đại học Cần Thơ"
2160,2161,17,2,1,7.03,4,2,5,4,3,2,2,3,3,2,3,1,1,2,1,"1,3,2",2,1,4,21.09,"Trường Đại học Xây dựng Hà Nội, Trường Đại học Kiến trúc Hà Nội, Trường Đại học Mỹ thuật Công nghiệp, Trường Đại học Nghệ thuật - ĐH Huế"
2161,2162,19,2,1,7.03,1,2,3,5,1,3,1,2,1,1,1,3,2,2,3,"7,1,1",1,3,3,21.09,"Trường Đại học Mỹ thuật Công nghiệp, Học viện Âm nhạc Quốc gia Việt Nam, Đại học Mỹ thuật Thành phố Hồ Chí Minh, Đại học Sân khấu - Điện ảnh Thành phố Hồ Chí Minh"
2162,2163,16,2,3,7.81,3,5,4,4,3,2,3,1,3,1,1,2,2,2,3,"1,4,3",8,5,1,23.43,"Trường Đại học Khoa học và Công nghệ Hà Nội, Đại học Khoa học Tự nhiên - ĐHQG TP Hồ Chí Minh"
2163,2164,18,1,5,7.53,4,2,2,1,1,1,2,1,1,1,1,2,2,1,1,"8,5,2",2,1,4,22.59,"Trường Đại học Xây dựng Hà Nội, Trường Đại học Kinh doanh và Công nghệ Hà Nội"
2164,2165,19,1,1,7.51,5,1,3,4,3,2,3,3,1,2,1,1,1,2,2,"8,3,6",1,3,3,22.53,"Trường Đại học Mỹ thuật Công nghiệp, Học viện Âm nhạc Quốc gia Việt Nam, Trường Đại học Văn hóa - Nghệ thuật Quân Đội, Đại học Mỹ thuật Thành phố Hồ Chí Minh, Đại học Sân khấu - Điện ảnh Thành phố Hồ Chí Minh"
2165,2166,16,1,2,7.79,2,1,3,1,2,3,2,3,3,1,3,1,1,1,1,"7,1,3",16,5,9,23.37,"Trường Đại học Y Hà Nội, Đại học Thái Nguyên, Trường Đại học Kinh doanh và Công nghệ Hà Nội, Trường Đại học Y Dược - ĐH Huế, Khoa Y Dược – ĐH Đà Nẵng, Trường Đại học Kỹ thuật Y Dược Đà Nẵng, Trường Đại học Tây Nguyên, Trường Đại học Y khoa Vinh, Đại học Y Dược Cần Thơ, Đại học Cần Thơ"
2166,2167,17,2,2,8.74,2,2,4,1,2,2,2,2,3,3,1,1,1,1,2,"1,5,2",18,3,8,26.22,
2167,2168,18,1,5,8.44,1,5,3,1,3,2,2,3,3,2,1,2,1,3,1,"3,2,1",4,8,5,25.32,"Đại học Quốc gia Hà Nội, Học viện Công nghệ Bưu chính Viễn thông, Đại học Khoa học Xã hội và Nhân văn - ĐHQG TP.HCM"
2168,2169,19,2,2,7.53,3,5,1,4,1,2,1,1,3,3,2,3,2,3,2,"7,5,1",22,4,10,22.59,
2169,2170,18,1,4,8.58,3,3,3,1,2,2,1,3,3,2,2,3,3,2,3,"5,7,3",2,1,4,25.740000000000002,
2170,2171,18,2,1,7.83,3,1,4,5,3,3,2,2,3,2,1,1,1,1,1,"7,1,6",1,3,3,23.490000000000002,"Trường Đại học Mỹ thuật Công nghiệp, Học viện Âm nhạc Quốc gia Việt Nam, Trường Đại học Văn hóa - Nghệ thuật Quân Đội, Đại học Mỹ thuật Thành phố Hồ Chí Minh"
2171,2172,16,1,3,9.3,5,4,4,1,3,1,2,2,1,2,2,3,3,3,3,"3,8,1",15,5,12,27.900000000000002,
2172,2173,16,2,4,8.29,3,5,1,2,3,2,3,2,3,3,1,1,2,3,3,"1,8,4",21,6,7,24.869999999999997,"Đại học Thái Nguyên, Trường Đại học Sư phạm Hà Nội 2, Trường Đại học Tây Bắc, Trường Đại học Ngoại ngữ - ĐH Huế, Trường Đại học Sư phạm - ĐH Huế, Trường Đại học Ngoại ngữ - ĐH Đà Nẵng, Trường Đại học Đà Lạt, Trường Đại học Khánh Hòa, Trường Đại học Quy Nhơn, Trường Đại học Tây Nguyên, Trường Đại học Vinh, Đại học Sư phạm TP. HCM"
2173,2174,18,2,5,7.53,2,3,4,3,1,2,1,1,2,3,1,3,3,2,1,"2,6,7",10,2,2,22.59,"Học viện Công nghệ Bưu chính Viễn thông, Học viện Nông nghiệp Việt Nam, Trường Đại học Sư phạm Kỹ thuật Hưng Yên, Trường Đại học Điện lực, Trường Đại học Kinh doanh và Công nghệ Hà Nội, Trường Đại học Sư phạm Kỹ thuật – ĐH Đà Nẵng, Đại học Bách Khoa - ĐHQG TP.HCM, Đại học Sư phạm Kỹ thuật TP.HCM, Đại học Công nghiệp Thành phố Hồ Chí Minh, Đại học Nông Lâm Thành phố Hồ Chí Minh, Đại học Luật TP.HCM, Đại học Việt - Đức"
2174,2175,17,1,4,7.77,4,2,3,3,3,2,2,1,2,1,3,3,3,3,3,"8,6,1",4,8,5,23.31,"Học viện phụ nữ Việt Nam, Trường Đại học Văn hóa - Nghệ thuật Quân Đội"
2175,2176,19,1,5,7.93,5,1,5,1,1,1,1,3,3,2,1,1,1,1,1,"8,6,1",2,1,4,23.79,"Trường Đại học Xây dựng Hà Nội, Trường Đại học Kinh doanh và Công nghệ Hà Nội"
2176,2177,16,2,3,8.08,5,3,3,4,2,1,1,3,1,2,3,1,1,3,3,"7,6,2",5,8,11,24.240000000000002,"Học viện Ngân hàng, Trường Đại học Giao thông Vận tải, Trường Đại học Văn hóa Hà Nội, Trường Đại học Tài nguyên và Môi trường Hà Nội, Trường Đại học Kinh doanh và Công nghệ Hà Nội, Trường Đại học Sư phạm Nghệ thuật Trung ương, Đại học Sư phạm Kỹ thuật TP.HCM, Đại học Công nghiệp Thành phố Hồ Chí Minh, Đại học Ngân hàng TP. HCM, Đại học Tài chính - Marketing, Đại học Tôn Đức Thắng, Đại học Quốc tế - ĐH Quốc gia TP.HCM"
2177,2178,18,2,1,7.59,3,2,2,5,3,3,2,1,2,2,2,1,3,3,2,"4,1,3",3,1,2,22.77,"Trường Đại học Mỏ - Địa chất, Trường Đại học Tài nguyên và Môi trường Hà Nội, Học viện Báo chí và Tuyên truyền, Học viện phụ nữ Việt Nam, Trường Đại học Kinh doanh và Công nghệ Hà Nội, Đại học Ngân hàng TP. HCM"
2178,2179,17,2,4,7.67,5,3,5,4,1,2,2,1,3,1,2,2,1,3,3,"3,7,1",16,5,9,23.009999999999998,"Trường Đại học Y Hà Nội, Đại học Thái Nguyên, Trường Đại học Kinh doanh và Công nghệ Hà Nội, Trường Đại học Y Dược - ĐH Huế, Khoa Y Dược – ĐH Đà Nẵng, Trường Đại học Kỹ thuật Y Dược Đà Nẵng, Trường Đại học Tây Nguyên, Trường Đại học Y khoa Vinh, Đại học Y Dược Cần Thơ, Đại học Cần Thơ"
2179,2180,16,2,4,7.58,5,2,3,1,2,3,1,3,2,3,3,1,2,3,3,"5,2,1",10,2,2,22.740000000000002,"Học viện Công nghệ Bưu chính Viễn thông, Học viện Nông nghiệp Việt Nam, Trường Đại học Sư phạm Kỹ thuật Hưng Yên, Trường Đại học Điện lực, Trường Đại học Kinh doanh và Công nghệ Hà Nội, Trường Đại học Sư phạm Kỹ thuật – ĐH Đà Nẵng, Đại học Bách Khoa - ĐHQG TP.HCM, Đại học Sư phạm Kỹ thuật TP.HCM, Đại học Công nghiệp Thành phố Hồ Chí Minh, Đại học Nông Lâm Thành phố Hồ Chí Minh, Đại học Luật TP.HCM, Đại học Việt - Đức"
2180,2181,16,2,5,8.09,5,5,3,4,3,2,2,1,2,2,1,3,3,2,1,"5,3,4",4,8,5,24.27,Học viện phụ nữ Việt Nam
2181,2182,18,1,4,7.97,5,1,2,2,1,2,1,3,1,1,3,2,1,1,1,"4,6,7",6,4,5,23.91,"Đại học Quốc gia Hà Nội, Trường Đại học Luật Hà Nội, Trường Đại học Mở Hà Nội, Học viện Báo chí và Tuyên truyền, Trường Đại học Kinh doanh và Công nghệ Hà Nội"
2182,2183,18,2,1,7.09,5,3,5,4,2,1,3,1,2,2,3,1,3,3,1,"5,3,6",1,3,3,21.27,"Trường Đại học Mỹ thuật Công nghiệp, Học viện Âm nhạc Quốc gia Việt Nam, Đại học Mỹ thuật Thành phố Hồ Chí Minh, Đại học Sân khấu - Điện ảnh Thành phố Hồ Chí Minh"
2183,2184,18,1,4,7.02,2,4,4,4,3,1,3,2,2,2,2,3,2,1,3,"4,6,5",9,8,1,21.06,"Trường Đại học Mỏ - Địa chất, Học viện Nông nghiệp Việt Nam, Trường Đại học Sư phạm Kỹ thuật Hưng Yên, Trường Đại học Y tế công cộng, Trường Đại học Việt Đức, Trường Đại học Công nghệ thông tin và Truyền thông Việt Hàn, Đại học FPT Hồ Chí Minh, Đại học Mở Thành phố Hồ Chí Minh, Đại học Hoa Sen"
2184,2185,18,2,1,8.81,3,4,1,1,2,3,1,3,1,3,3,3,1,3,3,"1,4,7",1,3,3,26.43,"Trường Đại học Mỹ thuật Việt Nam, Đại học Kiến trúc Thành phố Hồ Chí Minh"
2185,2186,17,2,3,8.03,1,5,4,3,2,2,2,2,2,3,2,3,2,3,3,"8,1,1",18,3,8,24.089999999999996,
2186,2187,16,1,1,7.02,1,3,4,1,2,1,2,2,1,2,2,3,2,1,1,"7,6,8",2,1,4,21.06,"Trường Đại học Xây dựng Hà Nội, Trường Đại học Kiến trúc Hà Nội, Trường Đại học Mỹ thuật Công nghiệp, Trường Đại học Nghệ thuật - ĐH Huế"
2187,2188,17,1,5,8.63,1,2,5,4,3,1,3,2,3,2,1,2,2,1,1,"4,3,5",1,3,3,25.89,"Trường Đại học Mỹ thuật Việt Nam, Trường Đại học Văn hóa - Nghệ thuật Quân Đội, Đại học Kiến trúc Thành phố Hồ Chí Minh"
2188,2189,17,2,4,8.51,2,4,5,5,3,3,2,1,2,2,2,3,3,3,2,"7,3,8",8,5,1,25.53,"Đại học Quốc gia Hà Nội, Đại học Kinh tế TP. HCM"
2189,2190,17,2,1,7.8,3,1,5,3,2,3,2,1,2,1,3,3,3,2,3,"8,7,1",1,3,3,23.4,"Trường Đại học Mỹ thuật Công nghiệp, Học viện Âm nhạc Quốc gia Việt Nam, Trường Đại học Văn hóa - Nghệ thuật Quân Đội, Đại học Mỹ thuật Thành phố Hồ Chí Minh"
2190,2191,17,2,1,8.09,4,3,1,3,2,1,1,1,2,2,3,3,2,2,2,"6,1,3",1,3,3,24.27,"Học viện Âm nhạc Quốc gia Việt Nam, Trường Đại học Văn hóa - Nghệ thuật Quân Đội"
2191,2192,19,1,2,8.17,1,1,5,1,2,1,1,3,1,1,1,2,3,1,3,"1,4,8",9,8,1,24.509999999999998,"Đại học Quốc gia Hà Nội, Trường Đại học Giao thông Vận tải, Trường Đại học Sư phạm Kỹ thuật Hưng Yên, Trường Đại học Thủy Lợi, Trường Đại học Khoa học và Công nghệ Hà Nội, Đại học Thăng Long, Trường Đại học Kinh doanh và Công nghệ Hà Nội, Đại học Sư phạm Kỹ thuật TP.HCM, Đại học Công nghiệp Thành phố Hồ Chí Minh, Đại học Khoa học Tự nhiên - ĐHQG TP Hồ Chí Minh, Đại học Quốc tế - ĐH Quốc gia TP.HCM"
2192,2193,19,1,5,9.33,4,4,2,2,1,2,2,2,2,1,2,2,2,1,2,"5,1,2",2,1,4,27.990000000000002,
2193,2194,17,1,2,7.5,4,5,4,1,2,2,3,3,1,2,2,2,3,2,2,"1,1,8",4,8,5,22.5,"Học viện phụ nữ Việt Nam, Trường Đại học Sư phạm - ĐH Đà nẵng"
2194,2195,19,2,4,7.35,4,3,1,2,1,3,1,1,1,2,1,1,2,2,3,"1,1,7",9,8,1,22.049999999999997,"Trường Đại học Mỏ - Địa chất, Trường Đại học Giao thông Vận tải, Trường Đại học Sư phạm Kỹ thuật Hưng Yên, Trường Đại học Y tế công cộng, Trường Đại học Kinh doanh và Công nghệ Hà Nội, Trường Đại học Việt Đức, Trường Đại học Công nghệ thông tin và Truyền thông Việt Hàn, Đại học FPT Hồ Chí Minh, Đại học Mở Thành phố Hồ Chí Minh, Học viện Công nghệ Bưu chính Viễn thông (Cơ sở phía Nam)"
2195,2196,19,1,1,7.93,4,5,2,4,3,2,3,3,1,1,3,1,1,3,1,"5,4,1",2,1,4,23.79,"Trường Đại học Xây dựng Hà Nội, Trường Đại học Kinh doanh và Công nghệ Hà Nội"
2196,2197,16,2,5,8.04,2,4,5,2,2,3,1,1,3,2,1,3,1,3,1,"8,6,4",5,8,11,24.119999999999997,"Học viện Ngân hàng, Trường Đại học Giao thông Vận tải, Trường Đại học Văn hóa Hà Nội, Trường Đại học Tài nguyên và Môi trường Hà Nội, Trường Đại học Kinh doanh và Công nghệ Hà Nội, Trường Đại học Sư phạm Nghệ thuật Trung ương, Đại học Sư phạm Kỹ thuật TP.HCM, Đại học Công nghiệp Thành phố Hồ Chí Minh, Đại học Ngân hàng TP. HCM, Đại học Tài chính - Marketing, Đại học Tôn Đức Thắng, Đại học Quốc tế - ĐH Quốc gia TP.HCM"
2197,2198,16,2,1,8.22,5,5,1,3,1,3,1,3,2,2,1,2,2,2,3,"1,1,6",11,2,6,24.660000000000004,"Đại học Quốc gia Hà Nội, Đại học Bách khoa Hà Nội, Học viện Công nghệ Bưu chính Viễn thông, Trường Đại học Giao thông Vận tải, Trường Đại học Bách Khoa - ĐH Đà Nẵng, Đại học Bách Khoa - ĐHQG TP.HCM, Đại học Công nghệ Thông tin - ĐH Quốc gia TP.HCM, Đại học Sư phạm Kỹ thuật TP.HCM, Đại học Công nghiệp Thành phố Hồ Chí Minh"
2198,2199,17,2,3,8.83,5,1,1,5,3,1,1,1,1,1,2,1,2,2,2,"1,6,4",4,8,5,26.490000000000002,"Đại học Quốc gia Hà Nội, Học viện Công nghệ Bưu chính Viễn thông, Trường Đại học Văn hóa Hà Nội"
2199,2200,18,1,5,7.69,5,2,4,1,2,2,3,1,3,1,1,3,2,3,1,"8,5,7",16,5,9,23.07,"Trường Đại học Y Hà Nội, Đại học Thái Nguyên, Trường Đại học Kinh doanh và Công nghệ Hà Nội, Trường Đại học Y Dược - ĐH Huế, Khoa Y Dược – ĐH Đà Nẵng, Trường Đại học Kỹ thuật Y Dược Đà Nẵng, Trường Đại học Tây Nguyên, Trường Đại học Y khoa Vinh, Đại học Y Dược Cần Thơ, Đại học Cần Thơ"
2200,2201,17,2,1,7.45,1,1,2,1,2,3,2,1,3,2,1,1,1,1,2,"3,6,2",9,8,1,22.35,"Trường Đại học Mỏ - Địa chất, Trường Đại học Giao thông Vận tải, Trường Đại học Sư phạm Kỹ thuật Hưng Yên, Trường Đại học Y tế công cộng, Trường Đại học Kinh doanh và Công nghệ Hà Nội, Trường Đại học Việt Đức, Trường Đại học Công nghệ thông tin và Truyền thông Việt Hàn, Đại học FPT Hồ Chí Minh, Đại học Mở Thành phố Hồ Chí Minh, Học viện Công nghệ Bưu chính Viễn thông (Cơ sở phía Nam)"
2201,2202,18,2,3,8.6,2,3,2,4,2,2,2,2,1,1,1,2,2,2,1,"1,3,5",4,8,5,25.799999999999997,"Đại học Quốc gia Hà Nội, Học viện Công nghệ Bưu chính Viễn thông, Trường Đại học Văn hóa Hà Nội, Đại học Khoa học Xã hội và Nhân văn - ĐHQG TP.HCM"
2202,2203,18,2,4,7.63,3,4,5,3,1,2,3,1,1,3,2,2,3,3,3,"2,5,1",10,2,2,22.89,"Học viện Công nghệ Bưu chính Viễn thông, Học viện Nông nghiệp Việt Nam, Trường Đại học Giao thông Vận tải, Trường Đại học Sư phạm Kỹ thuật Hưng Yên, Trường Đại học Kinh doanh và Công nghệ Hà Nội, Trường Đại học Sư phạm Kỹ thuật – ĐH Đà Nẵng, Đại học Bách Khoa - ĐHQG TP.HCM, Đại học Sư phạm Kỹ thuật TP.HCM, Đại học Công nghiệp Thành phố Hồ Chí Minh, Đại học Nông Lâm Thành phố Hồ Chí Minh, Đại học Luật TP.HCM, Đại học Việt - Đức"
2203,2204,19,1,3,8.29,1,2,5,1,3,3,2,2,1,3,2,2,2,1,1,"7,3,8",9,8,1,24.869999999999997,"Đại học Quốc gia Hà Nội, Trường Đại học Giao thông Vận tải, Trường Đại học Sư phạm Kỹ thuật Hưng Yên, Trường Đại học Thủy Lợi, Trường Đại học Khoa học và Công nghệ Hà Nội, Đại học Thăng Long, Trường Đại học Kiến trúc Hà Nội, Trường Đại học Kinh doanh và Công nghệ Hà Nội, Đại học Sư phạm Kỹ thuật TP.HCM, Đại học Công nghiệp Thành phố Hồ Chí Minh, Đại học Khoa học Tự nhiên - ĐHQG TP Hồ Chí Minh, Đại học Quốc tế - ĐH Quốc gia TP.HCM"
2204,2205,16,2,5,8.79,3,1,4,1,1,1,3,3,1,2,3,2,1,2,3,"1,3,1",4,8,5,26.369999999999997,"Đại học Quốc gia Hà Nội, Học viện Công nghệ Bưu chính Viễn thông, Trường Đại học Văn hóa Hà Nội"
2205,2206,19,1,1,7.44,1,2,1,4,3,1,2,1,2,2,1,1,1,3,1,"8,3,1",1,3,3,22.32,"Trường Đại học Mỹ thuật Công nghiệp, Học viện Âm nhạc Quốc gia Việt Nam, Trường Đại học Văn hóa - Nghệ thuật Quân Đội, Đại học Mỹ thuật Thành phố Hồ Chí Minh, Đại học Sân khấu - Điện ảnh Thành phố Hồ Chí Minh"
2206,2207,16,2,5,7.13,3,5,3,1,2,1,2,2,2,2,3,1,2,1,3,"6,5,3",11,2,6,21.39,"Trường Đại học Mỏ - Địa chất, Trường Đại học Xây dựng Hà Nội, Trường Đại học Hàng Hải Việt Nam, Trường Đại học Y tế công cộng, Trường Đại học Bách Khoa - ĐH Đà Nẵng, Đại học Sư phạm Kỹ thuật TP.HCM, Đại học Công nghiệp Thành phố Hồ Chí Minh, Học viện Công nghệ Bưu chính Viễn thông (Cơ sở phía Nam), Đại học Giao thông vận tải Thành phố Hồ Chí Minh"
2207,2208,17,1,4,9.23,3,5,3,1,3,2,1,1,3,1,3,1,3,2,1,"1,1,7",15,5,12,27.69,
2208,2209,18,1,4,8.19,5,2,5,1,2,2,2,2,2,3,3,1,1,1,2,"1,7,3",3,1,2,24.57,"Học viện Công nghệ Bưu chính Viễn thông, Trường Đại học Tài nguyên và Môi trường Hà Nội, Trường Đại học Kinh doanh và Công nghệ Hà Nội, Học viện Chính sách và Phát triển"
