,Id,Age,Gender,Departments,Score,Average Score,Communication Skills,Teamwork Skills,Management Skills,Critical Thinking,Computer Skills,Language Skills,Machine Operation Skills,Data Analysis Skills,Sales and Marketing Skills,Writing Skills,Financial Skills,Project Management Skills,Medical Skills,Annual Tuition Budget,Preferred Location,Key Factors for Future Job,Major,Habit,Field of Interest,,
1671,1672,17,1,2,16.48,8.24,2,2,4,1,2,2,2,3,3,1,3,2,1,3,2,"8,1,4",3,1,2,,
1672,1673,17,1,4,18.62,9.31,4,4,1,4,3,1,2,1,2,1,3,3,2,3,3,"1,6,4",2,1,4,,
1673,1674,19,1,1,15.9,7.95,4,5,2,5,2,3,1,3,3,1,2,3,2,3,3,"7,2,1",3,1,2,,
1674,1675,17,1,5,18.72,9.36,1,3,3,5,3,2,1,1,1,2,3,3,1,1,1,"1,3,5",10,2,2,,
1675,1676,19,2,1,18.52,9.26,5,2,4,4,2,2,3,1,1,1,1,1,3,3,2,"2,4,3",2,1,4,,
1676,1677,17,2,1,16.02,8.01,4,5,5,3,3,1,2,2,1,1,3,1,3,1,2,"6,2,1",22,4,10,,
1677,1678,16,2,1,14.58,7.29,5,1,1,3,3,3,1,3,1,3,1,2,2,2,3,"1,5,2",1,3,3,,
1678,1679,18,2,3,17.8,8.9,4,1,5,5,2,3,2,2,2,2,1,1,3,1,3,"1,6,7",2,1,4,,
1679,1680,18,2,1,15.64,7.82,2,2,1,2,3,2,2,3,2,2,1,3,3,1,3,"1,4,5",8,5,1,,
1680,1681,16,1,4,14.48,7.24,4,1,4,1,1,3,1,3,3,2,1,1,2,2,2,"5,2,1",8,5,1,,
1681,1682,17,1,1,18.68,9.34,1,1,3,3,1,2,2,1,2,2,3,1,1,3,1,"1,8,4",21,6,7,,
1682,1683,17,1,5,16.8,8.4,4,3,1,3,2,1,1,1,3,2,3,3,3,2,1,"6,2,4",9,8,1,,
1683,1684,19,1,5,18.92,9.46,3,1,5,3,1,2,2,1,3,1,1,2,3,3,2,"1,5,7",8,5,1,,
1684,1685,19,2,2,17.12,8.56,5,1,2,3,2,3,2,2,1,3,3,2,2,3,1,"6,1,7",4,8,5,,
1685,1686,19,1,4,17.5,8.75,5,2,4,4,3,3,3,3,1,3,3,2,3,1,3,"8,3,4",4,8,5,,
1686,1687,17,2,1,15.9,7.95,1,5,5,4,3,3,1,3,3,3,2,3,2,1,2,"4,1,8",3,1,2,,
1687,1688,16,1,2,18.2,9.1,5,3,1,1,3,1,3,2,1,2,2,3,2,2,2,"1,5,1",3,1,2,,
1688,1689,16,1,3,15.5,7.75,2,3,3,3,1,1,1,2,2,1,3,3,1,3,3,"7,6,4",8,5,1,,
1689,1690,18,2,5,17.76,8.88,3,4,2,3,2,2,2,1,3,2,2,3,3,3,1,"4,5,1",4,8,5,,
1690,1691,18,1,4,16.6,8.3,3,2,5,5,1,1,2,1,2,1,1,3,1,2,3,"3,7,2",22,4,10,,
1691,1692,17,1,5,18.24,9.12,2,2,1,5,1,1,2,3,2,3,3,1,3,2,3,"7,1,5",10,2,2,,
1692,1693,17,1,2,14.12,7.06,2,1,5,1,2,3,3,2,3,3,1,2,3,3,1,"7,8,4",5,8,11,,
1693,1694,18,1,3,17.28,8.64,5,3,2,3,1,1,3,3,3,2,1,3,3,1,3,"8,5,1",21,6,7,,
1694,1695,18,2,3,14.9,7.45,5,5,2,2,1,2,3,1,1,3,1,3,1,3,3,"2,1,3",2,1,4,,
1695,1696,16,1,1,18.22,9.11,2,3,3,1,3,3,3,2,1,1,3,2,1,2,3,"1,3,4",16,5,9,,
1696,1697,19,1,1,16.78,8.39,1,1,4,1,2,1,3,2,1,3,2,2,3,3,2,"5,1,6",1,3,3,,
1697,1698,16,1,5,17.6,8.8,3,3,4,2,1,1,1,2,1,3,3,2,3,2,2,"3,1,1",2,1,4,,
1698,1699,19,1,4,17.86,8.93,1,5,3,5,3,1,2,1,1,3,3,2,3,3,3,"7,4,6",6,4,5,,
1699,1700,17,2,5,16.12,8.06,2,5,3,5,1,2,1,2,1,3,2,1,1,2,3,"1,4,2",4,8,5,,
1700,1701,17,1,1,15.78,7.89,4,4,3,5,2,2,1,1,2,3,1,2,1,2,1,"6,1,7",8,5,1,,
1701,1702,16,1,1,16.78,8.39,5,5,2,3,2,1,1,1,1,1,1,2,3,3,1,"3,1,7",1,3,3,,
1702,1703,16,1,2,16.88,8.44,2,5,5,3,2,2,3,1,3,1,2,3,3,1,2,"4,1,2",11,2,6,,
1703,1704,16,2,1,14.64,7.32,4,1,4,2,3,3,1,2,3,1,2,3,2,3,3,"2,8,6",4,8,5,,
1704,1705,17,2,1,16.24,8.12,2,3,1,1,3,3,2,3,3,3,2,3,2,1,2,"2,7,6",6,4,5,,
1705,1706,18,1,5,15.12,7.56,3,3,5,4,3,2,2,1,2,3,1,3,1,3,3,"3,6,2",9,8,1,,
1706,1707,17,1,1,17.08,8.54,2,5,1,1,2,2,2,3,1,1,2,2,3,3,2,"1,5,8",8,5,1,,
1707,1708,17,2,4,18.72,9.36,2,3,2,3,2,2,3,3,3,3,3,1,1,3,3,"3,8,1",1,3,3,,
1708,1709,17,2,1,15.88,7.94,1,1,2,3,3,1,2,1,2,2,2,3,2,3,2,"1,2,1",3,1,2,,
1709,1710,17,1,1,17.98,8.99,2,3,5,4,1,3,3,3,1,2,1,1,3,1,2,"7,6,1",8,5,1,,
1710,1711,17,1,1,14.28,7.14,3,3,4,3,1,1,1,3,3,3,1,2,3,2,3,"4,7,3",2,1,4,,
1711,1712,18,2,3,18.34,9.17,3,1,1,5,2,3,3,2,3,2,1,2,2,3,3,"8,6,1",5,8,11,,
1712,1713,19,2,5,17.74,8.87,3,1,5,2,2,3,2,2,2,2,1,3,1,1,2,"1,1,2",1,3,3,,
1713,1714,18,2,4,17.32,8.66,2,1,2,3,1,3,2,3,3,3,2,2,2,1,2,"4,5,3",21,6,7,,
1714,1715,17,2,3,18.56,9.28,5,5,3,3,3,1,3,1,2,3,1,2,1,2,3,"1,8,2",5,8,11,,
1715,1716,17,2,2,17.8,8.9,3,4,5,4,1,2,2,1,1,2,1,1,3,3,1,"4,3,7",3,1,2,,
1716,1717,16,2,5,14.54,7.27,4,3,3,2,3,2,2,3,2,2,1,1,1,3,3,"7,1,6",22,4,10,,
1717,1718,18,2,4,17.26,8.63,2,4,5,5,1,3,2,3,1,3,2,3,2,3,1,"6,3,4",2,1,4,,
1718,1719,19,1,2,17.4,8.7,5,3,4,5,1,1,1,2,1,1,1,3,3,3,1,"4,2,3",4,8,5,,
1719,1720,16,2,3,15.94,7.97,4,2,4,3,1,2,3,1,3,1,1,2,3,2,1,"4,2,1",6,4,5,,
1720,1721,17,2,1,14.66,7.33,3,5,5,3,3,1,3,2,3,3,1,3,1,1,1,"8,6,1",11,2,6,,
1721,1722,16,1,1,16.36,8.18,1,3,2,5,1,1,1,3,1,2,3,3,2,1,1,"8,6,2",8,5,1,,
1722,1723,17,2,1,17,8.5,4,4,3,3,2,2,2,1,2,1,3,3,2,3,2,"5,8,6",1,3,3,,
1723,1724,17,2,5,14.18,7.09,4,4,3,4,1,1,1,1,1,3,2,2,1,2,1,"4,7,1",2,1,4,,
1724,1725,16,2,3,14.36,7.18,5,4,1,1,1,3,1,2,3,2,1,3,2,1,1,"3,8,2",3,1,2,,
1725,1726,18,1,2,14.54,7.27,5,1,5,4,2,1,3,3,3,1,2,2,3,1,3,"2,5,3",9,8,1,,
1726,1727,16,1,1,14.64,7.32,1,3,4,5,3,1,1,3,1,1,2,3,1,2,3,"1,1,6",11,2,6,,
1727,1728,18,2,5,16.32,8.16,2,3,5,2,1,2,1,1,2,1,3,3,1,3,1,"7,3,1",18,3,8,,
1728,1729,17,2,1,15.46,7.73,4,5,4,1,2,3,3,3,3,2,2,2,3,2,1,"1,7,4",22,4,10,,
1729,1730,16,1,2,18.06,9.03,2,3,3,3,3,1,1,3,2,1,1,2,1,1,1,"7,4,2",18,3,8,,
1730,1731,16,1,5,17.02,8.51,4,1,5,5,3,1,3,3,1,3,3,3,2,3,1,"6,1,8",6,4,5,,
1731,1732,16,1,5,14.9,7.45,1,4,2,2,1,1,3,1,1,3,3,2,3,2,2,"8,7,1",6,4,5,,
1732,1733,17,2,1,16.84,8.42,1,4,2,5,1,1,1,1,1,1,1,2,3,2,3,"1,3,8",6,4,5,,
1733,1734,16,1,5,14.66,7.33,3,2,3,5,1,3,2,1,1,2,1,2,1,3,1,"2,1,1",21,6,7,,
1734,1735,19,1,5,18.66,9.33,5,4,3,4,3,2,1,2,2,1,1,3,2,1,3,"3,1,1",11,2,6,,
1735,1736,19,2,1,15.66,7.83,1,3,5,1,3,1,1,3,1,1,1,1,2,1,3,"3,7,2",2,1,4,,
1736,1737,16,1,4,16.04,8.02,1,4,3,1,2,3,3,1,2,3,2,3,1,2,2,"1,3,6",10,2,2,,
1737,1738,19,2,5,18.94,9.47,5,5,1,2,3,3,1,1,1,1,2,3,2,1,3,"6,3,7",8,5,1,,
1738,1739,19,2,2,15.48,7.74,2,4,4,2,1,1,1,2,2,2,2,3,1,1,2,"2,3,5",8,5,1,,
1739,1740,19,1,3,15.36,7.68,4,5,3,4,2,1,1,1,3,1,3,1,2,2,3,"7,1,1",4,8,5,,
1740,1741,17,1,3,18.46,9.23,5,5,2,1,2,3,3,1,2,2,3,3,3,3,2,"2,6,4",10,2,2,,
1741,1742,17,2,5,18.2,9.1,1,2,1,5,2,3,3,1,2,2,1,1,1,1,3,"8,4,2",5,8,11,,
1742,1743,17,1,2,14.54,7.27,1,5,1,3,3,2,3,2,1,2,1,2,3,1,2,"7,2,1",18,3,8,,
1743,1744,18,2,5,18.62,9.31,1,3,1,5,3,2,2,1,3,2,2,1,1,1,1,"4,6,5",1,3,3,,
1744,1745,16,2,2,17.28,8.64,5,1,4,4,1,3,3,3,2,1,2,3,3,2,2,"1,7,1",1,3,3,,
1745,1746,16,1,2,14.52,7.26,5,3,4,1,1,1,3,1,2,2,3,1,3,1,2,"3,7,8",1,3,3,,
1746,1747,17,1,5,14.68,7.34,1,3,4,1,1,3,1,3,2,1,2,2,3,2,2,"7,8,6",2,1,4,,
1747,1748,19,1,4,17.48,8.74,3,5,1,3,3,1,3,2,2,1,3,2,1,2,3,"4,1,2",15,5,12,,
1748,1749,18,1,1,15.1,7.55,4,2,4,4,1,1,1,1,1,3,3,3,1,1,1,"6,5,4",18,3,8,,
1749,1750,17,1,3,16.98,8.49,2,2,2,1,3,2,1,2,1,3,1,2,3,1,1,"6,4,1",6,4,5,,
1750,1751,18,1,4,18.36,9.18,2,3,2,1,2,3,3,3,2,1,3,1,2,1,3,"4,1,1",1,3,3,,
1751,1752,16,1,1,14.3,7.15,2,3,1,4,1,3,3,1,3,3,2,2,3,1,2,"1,6,3",11,2,6,,
1752,1753,19,1,1,17.8,8.9,1,5,4,2,3,3,1,2,1,1,2,2,3,2,2,"2,3,5",22,4,10,,
1753,1754,16,2,3,15.58,7.79,1,2,3,1,2,3,1,2,3,2,3,2,2,2,2,"1,5,1",1,3,3,,
1754,1755,16,1,1,16.84,8.42,2,3,3,1,2,1,1,3,3,3,3,1,1,2,2,"7,1,1",9,8,1,,
1755,1756,16,2,1,17.7,8.85,3,3,4,3,1,3,1,1,3,2,2,1,2,1,2,"4,7,2",4,8,5,,
1756,1757,19,2,5,17.02,8.51,5,2,1,1,3,1,2,3,1,3,1,2,1,1,1,"5,4,1",1,3,3,,
1757,1758,19,1,4,18.76,9.38,5,4,3,5,1,3,3,1,2,1,2,3,2,1,1,"1,2,8",21,6,7,,
1758,1759,19,2,5,14.44,7.22,3,1,3,4,3,1,2,1,2,2,1,2,1,1,2,"8,6,5",4,8,5,,
1759,1760,16,1,4,16.34,8.17,2,1,5,2,1,1,1,3,2,3,1,3,1,2,1,"2,7,1",4,8,5,,
1760,1761,16,2,1,15.48,7.74,3,3,5,1,2,1,3,2,1,2,2,3,1,2,3,"3,7,1",5,8,11,,
1761,1762,18,1,5,16.88,8.44,2,4,4,3,3,1,2,3,2,2,3,3,2,1,2,"3,1,1",6,4,5,,
1762,1763,18,1,3,17.4,8.7,5,2,5,2,1,1,1,1,3,3,1,1,3,1,3,"5,8,1",10,2,2,,
1763,1764,17,1,2,14.58,7.29,3,4,3,5,3,2,3,2,2,1,3,2,2,2,1,"1,5,4",2,1,4,,
1764,1765,17,1,4,14.96,7.48,4,5,5,1,3,2,1,2,3,2,1,1,1,1,2,"1,5,2",10,2,2,,
1765,1766,17,2,4,16.48,8.24,4,1,3,2,2,3,1,3,2,3,2,2,1,3,3,"1,4,1",4,8,5,,
1766,1767,17,2,1,18.6,9.3,2,2,1,2,3,1,3,1,2,2,2,3,1,2,2,"7,4,1",8,5,1,,
1767,1768,17,1,1,15.56,7.78,4,4,4,1,2,2,2,2,2,3,1,3,2,3,1,"1,1,6",5,8,11,,
1768,1769,19,1,1,15.62,7.81,5,1,4,2,3,3,3,1,1,1,1,3,2,2,2,"6,4,1",1,3,3,,
1769,1770,16,2,1,15.64,7.82,3,4,3,3,2,2,1,2,3,3,2,3,2,3,2,"4,1,5",1,3,3,,
1770,1771,19,1,1,14.22,7.11,3,4,3,1,1,2,3,3,1,1,1,3,3,1,3,"5,3,2",4,8,5,,
1771,1772,17,1,3,16,8,3,1,5,4,2,1,1,3,2,3,1,2,1,1,1,"3,2,4",15,5,12,,
1772,1773,16,2,1,14.14,7.07,4,1,3,2,2,2,1,3,3,3,1,3,1,1,2,"2,6,1",2,1,4,,
1773,1774,18,1,2,17.36,8.68,3,2,1,1,2,2,2,1,3,3,2,2,3,1,1,"8,3,2",10,2,2,,
1774,1775,18,2,5,18.1,9.05,5,3,1,3,1,1,3,1,1,2,2,3,2,3,1,"8,7,5",16,5,9,,
1775,1776,19,2,5,18.28,9.14,4,3,5,3,1,2,1,3,3,2,1,1,2,3,3,"1,7,4",2,1,4,,
1776,1777,16,1,3,14.22,7.11,3,3,3,3,2,2,1,3,2,3,1,3,1,2,2,"2,6,5",22,4,10,,
1777,1778,17,1,4,17.02,8.51,4,4,4,2,1,1,2,2,2,3,3,2,3,1,1,"4,1,2",2,1,4,,
1778,1779,18,1,3,17.26,8.63,5,4,1,5,2,2,2,2,1,2,3,1,3,1,3,"4,6,3",4,8,5,,
1779,1780,18,2,1,15.6,7.8,1,5,5,1,3,2,2,1,2,2,3,2,3,2,3,"2,5,3",11,2,6,,
1780,1781,16,2,5,15.28,7.64,2,4,4,2,3,3,1,3,2,2,2,3,3,2,3,"1,5,8",5,8,11,,
1781,1782,17,2,1,16.18,8.09,4,4,4,2,3,3,2,3,1,2,1,3,2,2,3,"1,6,1",1,3,3,,
1782,1783,18,1,5,16.64,8.32,5,2,4,5,3,3,2,2,1,2,2,3,3,3,1,"2,1,6",9,8,1,,
1783,1784,17,2,1,17.8,8.9,3,2,2,5,2,2,2,3,1,3,2,2,1,1,2,"3,1,1",18,3,8,,
1784,1785,19,2,3,17.08,8.54,1,3,5,2,2,1,2,3,3,2,1,3,1,3,2,"5,7,2",1,3,3,,
1785,1786,19,2,1,17.64,8.82,5,1,1,3,1,1,2,1,1,1,3,3,3,2,2,"1,3,8",6,4,5,,
1786,1787,17,2,1,15.7,7.85,2,1,1,5,3,3,1,2,1,1,1,2,3,3,1,"2,8,5",2,1,4,,
1787,1788,17,1,1,15.34,7.67,5,4,5,3,3,2,1,1,1,2,2,3,1,2,1,"1,8,4",4,8,5,,
1788,1789,18,2,4,18.06,9.03,2,5,5,5,3,1,2,3,1,1,3,3,3,3,1,"4,6,8",22,4,10,,
1789,1790,19,1,3,15.32,7.66,4,4,2,3,2,2,2,2,2,2,3,2,3,3,2,"1,8,5",2,1,4,,
1790,1791,17,2,4,14.98,7.49,2,5,1,3,3,3,3,2,1,2,2,1,1,1,3,"1,2,4",1,3,3,,
1791,1792,18,2,4,15.14,7.57,5,1,3,5,2,1,1,1,3,3,2,2,2,3,1,"6,8,5",5,8,11,,
1792,1793,18,1,3,15.9,7.95,4,5,4,1,1,3,3,1,1,1,2,3,1,1,3,"2,5,8",8,5,1,,
1793,1794,19,2,2,16.52,8.26,1,4,1,5,2,3,2,3,2,3,3,1,3,3,2,"1,5,4",4,8,5,,
1794,1795,16,2,3,16.94,8.47,3,2,4,2,2,2,2,1,3,2,1,1,2,1,2,"7,1,1",6,4,5,,
1795,1796,16,1,1,17.1,8.55,1,2,5,2,1,2,1,1,1,1,2,1,3,2,2,"1,8,5",8,5,1,,
1796,1797,17,2,3,18.6,9.3,1,5,2,1,1,1,2,1,1,1,2,3,2,3,3,"4,7,1",11,2,6,,
1797,1798,19,1,5,15.52,7.76,3,1,1,3,3,2,3,3,1,1,3,3,2,1,3,"1,3,7",2,1,4,,
1798,1799,17,2,3,17.22,8.61,4,1,1,5,3,2,3,1,1,2,1,1,1,2,2,"5,3,2",1,3,3,,
1799,1800,18,2,4,15.58,7.79,5,3,3,3,2,1,2,3,1,3,3,2,2,3,1,"2,3,5",11,2,6,,
1800,1801,19,1,1,15.5,7.75,1,4,1,1,2,3,1,1,2,3,2,1,3,2,2,"1,6,7",2,1,4,,
1801,1802,18,2,3,17.6,8.8,4,5,2,5,2,3,1,2,2,2,3,3,3,2,3,"3,7,8",9,8,1,,
1802,1803,16,1,2,18.32,9.16,1,1,1,1,3,1,1,2,1,2,3,1,1,1,1,"4,7,6",1,3,3,,
1803,1804,17,2,1,17.08,8.54,5,1,5,5,3,3,3,2,1,1,1,2,2,1,1,"6,1,5",18,3,8,,
1804,1805,16,1,5,18.48,9.24,1,4,1,5,1,2,1,2,1,1,2,2,1,3,1,"5,6,2",4,8,5,,
1805,1806,16,2,1,16.22,8.11,1,2,4,5,3,1,1,2,3,2,3,3,3,3,1,"2,8,5",4,8,5,,
1806,1807,18,1,1,18.62,9.31,2,5,5,3,1,1,2,3,3,2,3,1,1,1,3,"4,3,8",5,8,11,,
1807,1808,18,2,1,17.06,8.53,4,1,5,2,1,2,3,1,1,1,2,3,3,3,2,"3,6,8",1,3,3,,
1808,1809,18,2,5,17.32,8.66,1,3,2,1,3,3,2,3,3,2,2,3,3,1,3,"1,5,3",2,1,4,,
1809,1810,19,1,3,15.84,7.92,5,2,2,4,2,3,2,3,3,2,1,1,3,3,3,"1,1,7",1,3,3,,
1810,1811,17,1,4,16.44,8.22,4,2,1,5,1,1,1,3,3,1,2,1,2,2,2,"1,1,4",4,8,5,,
1811,1812,18,2,1,17.7,8.85,3,1,1,5,1,1,1,3,3,1,2,1,2,2,2,"5,2,3",8,5,1,,
1812,1813,19,1,1,17.54,8.77,3,1,2,4,1,2,1,2,1,3,3,3,3,2,3,"7,4,6",1,3,3,,
1813,1814,17,2,3,15.06,7.53,3,1,5,5,2,2,1,1,3,1,2,1,2,2,2,"1,4,1",10,2,2,,
1814,1815,17,1,4,16.46,8.23,1,4,3,1,3,3,1,1,2,1,3,1,1,1,3,"8,1,4",2,1,4,,
1815,1816,17,1,4,18.32,9.16,1,5,3,1,2,3,3,3,2,3,3,3,2,2,3,"1,2,7",1,3,3,,
1816,1817,17,1,1,17.72,8.86,4,1,4,5,3,1,2,1,3,2,1,1,3,1,1,"6,1,3",3,1,2,,
1817,1818,17,2,1,16.6,8.3,4,2,3,2,3,2,3,1,3,1,3,3,1,3,2,"2,6,8",10,2,2,,
1818,1819,16,1,1,15.86,7.93,2,2,5,2,2,1,3,1,2,2,2,2,3,2,1,"5,7,6",1,3,3,,
1819,1820,18,2,2,16.44,8.22,5,5,3,2,3,3,3,3,1,3,2,2,3,2,2,"7,1,1",21,6,7,,
1820,1821,16,2,1,16.5,8.25,2,1,4,1,2,2,1,2,3,3,2,3,1,2,2,"6,2,3",1,3,3,,
1821,1822,17,1,3,14.66,7.33,5,1,2,1,3,1,2,3,2,2,3,3,3,2,3,"6,2,8",16,5,9,,
1822,1823,19,2,1,17.62,8.81,3,1,3,2,2,3,2,1,2,3,2,1,3,3,3,"5,7,1",3,1,2,,
1823,1824,16,2,2,17.24,8.62,5,5,4,1,1,2,2,2,1,3,1,1,3,1,1,"1,4,8",2,1,4,,
1824,1825,19,2,1,14.24,7.12,4,5,5,3,3,3,3,2,3,1,1,1,1,3,3,"8,6,1",4,8,5,,
1825,1826,19,1,4,15.16,7.58,4,1,3,4,3,2,3,3,3,1,1,1,2,1,3,"3,5,7",9,8,1,,
1826,1827,16,2,1,15.58,7.79,3,3,3,5,2,2,3,2,1,1,3,1,3,2,3,"2,4,1",15,5,12,,
1827,1828,18,1,2,15.22,7.61,4,2,5,4,1,3,3,3,1,3,1,3,1,3,3,"1,3,4",5,8,11,,
1828,1829,18,2,4,14.58,7.29,1,2,5,2,1,2,3,1,1,2,3,1,2,1,3,"8,6,3",1,3,3,,
1829,1830,16,2,1,14.96,7.48,3,4,2,5,1,2,2,2,2,3,1,2,3,2,3,"8,1,7",4,8,5,,
1830,1831,16,2,3,17.1,8.55,3,4,1,3,1,1,2,1,1,1,3,2,2,2,2,"7,1,3",3,1,2,,
1831,1832,17,1,2,14.36,7.18,1,5,1,3,2,3,3,3,3,1,1,2,3,1,2,"1,4,6",1,3,3,,
1832,1833,19,1,3,15.2,7.6,4,4,4,3,1,3,1,3,3,2,2,2,1,2,3,"2,3,6",2,1,4,,
1833,1834,16,1,1,17.4,8.7,1,3,1,1,2,1,1,3,3,1,3,3,2,3,3,"8,6,5",8,5,1,,
1834,1835,16,1,1,17.96,8.98,1,5,1,1,3,1,1,1,3,2,2,2,2,1,2,"4,1,5",5,8,11,,
1835,1836,17,1,1,18.8,9.4,1,4,2,1,1,3,3,3,3,1,3,1,3,2,1,"2,8,6",10,2,2,,
1836,1837,19,1,4,15.88,7.94,4,4,3,4,2,2,1,3,2,1,1,1,3,2,2,"7,2,5",5,8,11,,
1837,1838,16,1,4,14.74,7.37,3,2,1,4,1,1,3,1,2,3,1,3,2,1,2,"6,4,3",10,2,2,,
1838,1839,17,2,1,15.82,7.91,3,4,2,1,2,2,1,1,3,1,2,1,1,1,1,"3,6,1",2,1,4,,
1839,1840,19,1,4,15.14,7.57,1,4,4,1,3,2,3,3,2,2,3,3,2,3,2,"6,2,4",22,4,10,,
1840,1841,16,2,1,14.16,7.08,2,5,2,2,3,1,2,1,2,2,1,1,2,2,1,"4,3,6",6,4,5,,
1841,1842,17,1,1,14.14,7.07,2,2,2,3,2,1,1,3,1,2,1,3,3,3,3,"3,5,2",2,1,4,,
1842,1843,19,1,3,18.08,9.04,1,5,4,3,2,3,2,3,1,2,2,3,1,3,3,"7,1,4",11,2,6,,
1843,1844,17,2,4,16.76,8.38,2,5,1,4,3,2,2,2,1,1,2,1,3,3,3,"8,6,4",1,3,3,,
1844,1845,17,2,5,18.54,9.27,5,1,1,2,1,1,3,1,2,3,1,3,1,2,3,"5,8,1",4,8,5,,
1845,1846,17,2,4,14.28,7.14,1,4,1,1,2,1,1,2,2,3,2,1,3,3,2,"1,2,8",6,4,5,,
1846,1847,18,2,5,14.72,7.36,5,1,3,3,1,3,2,1,2,1,2,3,2,2,2,"7,4,5",5,8,11,,
1847,1848,19,2,1,18.86,9.43,5,4,2,4,1,3,2,3,2,3,2,1,1,1,1,"6,1,7",18,3,8,,
1848,1849,17,1,4,17.46,8.73,3,3,5,1,1,2,2,1,3,1,2,2,1,2,3,"4,5,7",9,8,1,,
1849,1850,18,2,1,17.48,8.74,3,1,4,5,3,1,3,1,2,2,3,3,2,1,1,"6,5,2",15,5,12,,
1850,1851,19,1,1,14.7,7.35,3,5,4,3,3,1,3,3,3,3,3,1,1,2,2,"6,7,1",5,8,11,,
1851,1852,16,2,4,14.84,7.42,3,2,5,4,3,1,3,3,2,3,2,2,2,3,1,"3,8,7",6,4,5,,
1852,1853,17,1,3,14.6,7.3,1,1,5,4,3,3,1,3,1,3,2,2,1,3,3,"5,3,1",2,1,4,,
1853,1854,19,1,1,15.06,7.53,1,2,4,3,2,1,3,2,3,3,1,2,3,2,3,"2,7,1",2,1,4,,
1854,1855,19,1,5,17.36,8.68,2,1,2,1,1,1,1,2,1,1,3,3,1,2,1,"8,2,3",2,1,4,,
1855,1856,16,1,1,16.3,8.15,2,1,3,3,1,3,1,2,2,1,3,1,2,3,1,"5,8,3",10,2,2,,
1856,1857,16,1,4,15.32,7.66,5,4,3,1,3,3,1,2,2,1,2,2,2,3,1,"6,3,2",6,4,5,,
1857,1858,17,2,1,17.38,8.69,3,1,1,3,3,2,2,2,1,3,2,3,2,3,3,"5,1,4",4,8,5,,
1858,1859,18,1,1,17.76,8.88,4,5,2,3,1,2,2,2,1,1,1,2,3,3,2,"3,5,2",8,5,1,,
1859,1860,17,2,2,15.02,7.51,4,4,4,1,2,2,1,3,1,3,2,1,2,1,1,"1,8,1",5,8,11,,
1860,1861,16,1,3,14.1,7.05,2,1,1,3,1,1,2,3,2,3,3,1,3,2,2,"6,4,1",6,4,5,,
1861,1862,17,2,1,17.06,8.53,2,4,3,4,1,1,3,2,3,2,1,3,1,3,1,"3,6,7",6,4,5,,
1862,1863,19,2,5,18.3,9.15,5,4,2,3,2,3,1,3,2,2,3,3,2,1,2,"6,1,4",6,4,5,,
1863,1864,19,1,1,15.06,7.53,5,3,3,4,3,3,2,2,1,1,2,3,3,1,2,"1,3,1",1,3,3,,
1864,1865,19,1,2,14.62,7.31,4,2,2,5,1,3,2,2,3,2,1,2,1,2,1,"6,2,4",1,3,3,,
1865,1866,16,1,4,17.2,8.6,1,1,5,5,3,1,1,2,2,3,3,3,1,1,2,"5,1,8",22,4,10,,
1866,1867,16,2,1,15.28,7.64,3,4,2,5,3,3,3,2,2,3,3,3,3,2,3,"8,4,6",2,1,4,,
1867,1868,17,2,1,18.82,9.41,4,5,4,1,3,3,2,2,2,3,1,3,3,1,2,"3,8,7",1,3,3,,
1868,1869,18,1,5,14.6,7.3,3,3,5,5,1,2,1,2,2,2,1,1,3,3,2,"1,1,7",2,1,4,,
1869,1870,17,1,3,18.36,9.18,2,3,5,1,1,1,1,2,1,1,3,3,2,3,2,"1,8,4",11,2,6,,
1870,1871,16,2,5,14.78,7.39,4,3,4,5,2,3,1,1,1,3,2,1,1,1,2,"1,5,1",8,5,1,,
1871,1872,17,2,1,18.58,9.29,1,4,4,5,3,1,1,3,2,3,1,1,2,2,2,"5,3,1",15,5,12,,
1872,1873,19,1,1,14.24,7.12,3,4,4,1,3,2,1,2,3,3,3,1,1,1,3,"5,1,8",1,3,3,,
1873,1874,19,2,3,16.24,8.12,3,5,5,2,3,3,2,3,1,3,3,3,2,2,1,"6,8,2",22,4,10,,
1874,1875,18,1,1,18.62,9.31,2,4,5,1,2,3,3,3,2,1,2,3,3,3,2,"5,6,4",1,3,3,,
1875,1876,18,2,1,17.28,8.64,3,4,5,1,2,2,3,1,2,3,1,3,3,3,2,"2,7,1",9,8,1,,
1876,1877,18,2,4,15.8,7.9,2,4,2,5,3,2,2,2,2,2,3,3,1,1,1,"5,8,4",6,4,5,,
1877,1878,19,1,1,15.04,7.52,4,1,3,5,1,3,2,3,3,3,2,2,2,2,3,"1,8,2",6,4,5,,
1878,1879,17,2,2,15.18,7.59,4,2,2,3,1,2,3,2,2,1,3,2,3,2,2,"2,6,1",1,3,3,,
1879,1880,16,2,5,17.44,8.72,1,2,5,4,3,3,3,3,3,3,3,3,3,3,1,"7,3,2",2,1,4,,
1880,1881,17,1,2,17.46,8.73,4,2,4,4,2,3,2,1,3,3,1,1,1,2,3,"3,6,4",1,3,3,,
1881,1882,16,1,1,17.42,8.71,5,2,3,5,2,1,3,3,3,1,2,3,3,1,2,"1,6,3",2,1,4,,
1882,1883,16,2,1,18.54,9.27,4,5,2,3,2,2,3,2,2,2,1,3,1,2,3,"1,4,7",21,6,7,,
